"","date","year","quartly","catalogue","type","sales2","cost2","profit2","area","city"
"38",2012-04-01,2012,"Q2","照相機與攝影機","豪華型",7556.199,4444.957,3111.242,"北部","台北市"
"39",2012-07-01,2012,"Q3","照相機與攝影機","豪華型",4958.755,5627.486,-668.731,"北部","台北市"
"40",2012-10-01,2012,"Q4","照相機與攝影機","豪華型",4346.29,1857.032,2489.258,"北部","台北市"
"41",2012-01-01,2012,"Q1","行動及無線電話","豪華型",66300.394,20029.296,46271.098,"北部","台北市"
"42",2012-04-01,2012,"Q2","行動及無線電話","豪華型",75771.879,72840.894,2930.985,"北部","台北市"
"43",2012-07-01,2012,"Q3","行動及無線電話","豪華型",49725.295,58796.417,-9071.122,"北部","台北市"
"44",2012-10-01,2012,"Q4","行動及無線電話","豪華型",43583.629,33973.808,9609.821,"北部","台北市"
"45",2012-01-01,2012,"Q1","電腦","豪華型",114786,150877.41,-36091.41,"北部","台北市"
"46",2012-04-01,2012,"Q2","電腦","豪華型",131184,37648.545,93535.455,"北部","台北市"
"47",2012-07-01,2012,"Q3","電腦","豪華型",111089.5,89774.65,21314.85,"北部","台北市"
"48",2012-10-01,2012,"Q4","電腦","豪華型",125456.422,34818.39,90638.032,"北部","台北市"
"49",2012-01-01,2012,"Q1","遊戲及玩具","豪華型",14876.266,7108.7,7767.566,"北部","台北市"
"50",2012-04-01,2012,"Q2","遊戲及玩具","豪華型",17001.447,23116.947,-6115.5,"北部","台北市"
"51",2012-07-01,2012,"Q3","遊戲及玩具","豪華型",16157.199,15432.93,724.269,"北部","台北市"
"52",2012-10-01,2012,"Q4","遊戲及玩具","豪華型",17279.152,10092.393,7186.759,"北部","台北市"
"53",2012-01-01,2012,"Q1","家用周邊配件","豪華型",73463.04,94002.004,-20538.964,"北部","台北市"
"54",2012-04-01,2012,"Q2","家用周邊配件","豪華型",83957.76,103930.058,-19972.298,"北部","台北市"
"55",2012-07-01,2012,"Q3","家用周邊配件","豪華型",80097.28,68721.256,11376.024,"北部","台北市"
"56",2012-10-01,2012,"Q4","家用周邊配件","豪華型",98292.11,44724.842,53567.268,"北部","台北市"
"57",2012-01-01,2012,"Q1","音樂、電影及有聲書","豪華型",2938.522,4120.411,-1181.889,"北部","台北市"
"58",2012-04-01,2012,"Q2","音樂、電影及有聲書","豪華型",3358.311,2447.655,910.656,"北部","台北市"
"59",2012-07-01,2012,"Q3","音樂、電影及有聲書","豪華型",2953.891,2215.752,738.139,"北部","台北市"
"60",2012-10-01,2012,"Q4","音樂、電影及有聲書","豪華型",2931.685,2024.116,907.569,"北部","台北市"
"61",2012-01-01,2012,"Q1","電視及影片","豪華型",22222.57,19762.527,2460.043,"北部","台北市"
"62",2012-04-01,2012,"Q2","電視及影片","豪華型",25397.22,16079.975,9317.245,"北部","台北市"
"63",2012-07-01,2012,"Q3","電視及影片","豪華型",24166.927,36077.305,-11910.378,"北部","台北市"
"64",2012-10-01,2012,"Q4","電視及影片","豪華型",14608.363,7319.64,7288.723,"北部","台北市"
"65",2013-01-01,2013,"Q1","影音周邊","豪華型",6061.76,2746.64,3315.12,"北部","台北市"
"66",2013-04-01,2013,"Q2","影音周邊","豪華型",6246.098,7909.954,-1663.856,"北部","台北市"
"67",2013-07-01,2013,"Q3","影音周邊","豪華型",6061.76,8479.156,-2417.396,"北部","台北市"
"68",2013-10-01,2013,"Q4","影音周邊","豪華型",6246.098,2778.855,3467.243,"北部","台北市"
"69",2013-01-01,2013,"Q1","照相機與攝影機","豪華型",6061.76,2811.602,3250.158,"北部","台北市"
"70",2013-04-01,2013,"Q2","照相機與攝影機","豪華型",3871.098,1510.697,2360.401,"北部","台北市"
"71",2013-01-01,2013,"Q1","照相機與攝影機","豪華型",6061.76,7123.27,-1061.51,"北部","台北市"
"72",2013-04-01,2013,"Q2","照相機與攝影機","豪華型",3871.098,4623.584,-752.486,"北部","台北市"
"73",2013-01-01,2013,"Q1","行動及無線電話","豪華型",36970.01,34622.999,2347.011,"北部","台北市"
"74",2013-04-01,2013,"Q2","行動及無線電話","豪華型",38818.511,54180.453,-15361.942,"北部","台北市"
"75",2013-07-01,2013,"Q3","行動及無線電話","豪華型",36970.01,18302.706,18667.304,"北部","台北市"
"76",2013-10-01,2013,"Q4","行動及無線電話","豪華型",38818.511,9961.653,28856.858,"北部","台北市"
"77",2013-01-01,2013,"Q1","電腦","豪華型",64006.25,80072.531,-16066.281,"北部","台北市"
"78",2013-04-01,2013,"Q2","電腦","豪華型",67206.563,101247.276,-34040.713,"北部","台北市"
"79",2013-07-01,2013,"Q3","電腦","豪華型",64006.25,29719.209,34287.041,"北部","台北市"
"80",2013-10-01,2013,"Q4","電腦","豪華型",67206.563,82654.41,-15447.847,"北部","台北市"
"81",2013-01-01,2013,"Q1","遊戲及玩具","豪華型",8295.21,3554.307,4740.903,"北部","台北市"
"82",2013-04-01,2013,"Q2","遊戲及玩具","豪華型",8709.971,2617.033,6092.938,"北部","台北市"
"83",2013-07-01,2013,"Q3","遊戲及玩具","豪華型",8295.21,8284.608,10.602,"北部","台北市"
"84",2013-10-01,2013,"Q4","遊戲及玩具","豪華型",8709.971,8122.903,587.068,"北部","台北市"
"85",2013-01-01,2013,"Q1","家用周邊配件","豪華型",40964,32932.831,8031.169,"北部","台北市"
"86",2013-04-01,2013,"Q2","家用周邊配件","豪華型",43012.2,50418.541,-7406.341,"北部","台北市"
"87",2013-01-01,2013,"Q1","音樂、電影及有聲書","豪華型",1638.56,951.105,687.455,"北部","台北市"
"88",2013-04-01,2013,"Q2","音樂、電影及有聲書","豪華型",1720.488,470.866,1249.622,"北部","台北市"
"89",2013-01-01,2013,"Q1","電視及影片","豪華型",12391.61,19183.947,-6792.337,"北部","台北市"
"90",2013-04-01,2013,"Q2","電視及影片","豪華型",13011.191,14150.535,-1139.344,"北部","台北市"
"91",2013-07-01,2013,"Q3","家用周邊配件","豪華型",40964,54761.751,-13797.751,"北部","台北市"
"92",2013-10-01,2013,"Q4","家用周邊配件","豪華型",43012.2,11003.88,32008.32,"北部","台北市"
"93",2013-07-01,2013,"Q3","音樂、電影及有聲書","豪華型",1638.56,1240.86,397.7,"北部","台北市"
"94",2013-10-01,2013,"Q4","音樂、電影及有聲書","豪華型",1720.488,1710.225,10.263,"北部","台北市"
"95",2013-07-01,2013,"Q3","電視及影片","豪華型",12391.61,4991.005,7400.605,"北部","台北市"
"96",2013-10-01,2013,"Q4","電視及影片","豪華型",13011.191,8666.083,4345.108,"北部","台北市"
"97",2011-01-01,2011,"Q1","影音周邊","經濟型",9722.198,1958.263,7763.935,"北部","台北市"
"98",2011-04-01,2011,"Q2","影音周邊","經濟型",10872.712,5655.25,5217.462,"北部","台北市"
"99",2011-07-01,2011,"Q3","影音周邊","經濟型",10363.763,1283.314,9080.449,"北部","台北市"
"100",2011-10-01,2011,"Q4","影音周邊","經濟型",12351.209,1965.904,10385.305,"北部","台北市"
"101",2011-01-01,2011,"Q1","照相機與攝影機","經濟型",6383.319,2989.032,3394.287,"北部","台北市"
"102",2011-04-01,2011,"Q2","照相機與攝影機","經濟型",5872.712,3734.452,2138.26,"北部","台北市"
"103",2011-07-01,2011,"Q3","照相機與攝影機","經濟型",6363.763,3871.534,2492.229,"北部","台北市"
"104",2011-10-01,2011,"Q4","照相機與攝影機","經濟型",6851.209,3208.939,3642.27,"北部","台北市"
"105",2011-01-01,2011,"Q1","行動及無線電話","經濟型",53982.727,51867.063,2115.664,"北部","台北市"
"106",2011-04-01,2011,"Q2","行動及無線電話","經濟型",58890.248,73972.007,-15081.759,"北部","台北市"
"107",2011-07-01,2011,"Q3","行動及無線電話","經濟型",63814.403,58946.743,4867.66,"北部","台北市"
"108",2011-10-01,2011,"Q4","行動及無線電話","經濟型",68702.401,89092.226,-20389.825,"北部","台北市"
"109",2011-01-01,2011,"Q1","電腦","經濟型",93460.4,129489.317,-36028.917,"北部","台北市"
"110",2011-04-01,2011,"Q2","電腦","經濟型",41956.8,55732.523,-13775.723,"北部","台北市"
"111",2011-07-01,2011,"Q3","電腦","經濟型",110482,16818.371,93663.629,"北部","台北市"
"112",2011-10-01,2011,"Q4","電腦","經濟型",118944.6,114464.579,4480.021,"北部","台北市"
"113",2011-01-01,2011,"Q1","遊戲及玩具","經濟型",8645.744,2346.822,6298.922,"北部","台北市"
"114",2011-04-01,2011,"Q2","遊戲及玩具","經濟型",13213.601,11823.727,1389.874,"北部","台北市"
"115",2011-07-01,2011,"Q3","遊戲及玩具","經濟型",14318.467,17271.91,-2953.443,"北部","台北市"
"116",2011-10-01,2011,"Q4","遊戲及玩具","經濟型",15415.22,18521.795,-3106.575,"北部","台北市"
"117",2011-01-01,2011,"Q1","家用周邊配件","經濟型",59814.656,59173.151,641.505,"北部","台北市"
"118",2011-04-01,2011,"Q2","家用周邊配件","經濟型",65252.352,60009.732,5242.62,"北部","台北市"
"119",2011-07-01,2011,"Q3","家用周邊配件","經濟型",70708.48,42351.805,28356.675,"北部","台北市"
"120",2011-10-01,2011,"Q4","家用周邊配件","經濟型",76124.544,26867.788,49256.756,"北部","台北市"
"121",2011-01-01,2011,"Q1","音樂、電影及有聲書","經濟型",2392.586,2994.787,-602.201,"北部","台北市"
"122",2011-04-01,2011,"Q2","音樂、電影及有聲書","經濟型",2610.094,261.452,2348.642,"北部","台北市"
"123",2011-07-01,2011,"Q3","音樂、電影及有聲書","經濟型",2828.339,917.905,1910.434,"北部","台北市"
"124",2011-10-01,2011,"Q4","音樂、電影及有聲書","經濟型",3044.982,1220.76,1824.222,"北部","台北市"
"125",2011-01-01,2011,"Q1","電視及影片","經濟型",16449.03,8647.803,7801.227,"北部","台北市"
"126",2011-04-01,2011,"Q2","電視及影片","經濟型",19738.837,11007.642,8731.195,"北部","台北市"
"127",2011-07-01,2011,"Q3","電視及影片","經濟型",21389.315,5771.328,15617.987,"北部","台北市"
"128",2011-10-01,2011,"Q4","電視及影片","經濟型",23027.675,21635.718,1391.957,"北部","台北市"
"129",2012-01-01,2012,"Q1","影音周邊","經濟型",10481.518,3529.852,6951.666,"北部","台北市"
"130",2012-04-01,2012,"Q2","影音周邊","經濟型",10764.592,13009.002,-2244.41,"北部","台北市"
"131",2012-07-01,2012,"Q3","影音周邊","經濟型",13923.639,22143.557,-8219.918,"北部","台北市"
"132",2012-10-01,2012,"Q4","影音周邊","經濟型",14797.305,23416.569,-8619.264,"北部","台北市"
"133",2012-01-01,2012,"Q1","照相機與攝影機","經濟型",7231.518,4340.037,2891.481,"北部","台北市"
"134",2012-04-01,2012,"Q2","照相機與攝影機","經濟型",8264.592,13100.84,-4836.248,"北部","台北市"
"135",2012-07-01,2012,"Q3","照相機與攝影機","經濟型",5423.639,5659.462,-235.823,"北部","台北市"
"136",2012-10-01,2012,"Q4","照相機與攝影機","經濟型",5047.305,4788.263,259.042,"北部","台北市"
"137",2012-01-01,2012,"Q1","行動及無線電話","經濟型",72516.056,23344.01,49172.046,"北部","台北市"
"138",2012-04-01,2012,"Q2","行動及無線電話","經濟型",82875.492,60502.616,22372.876,"北部","台北市"
"139",2012-07-01,2012,"Q3","行動及無線電話","經濟型",54387.042,76861.985,-22474.943,"北部","台北市"
"140",2012-10-01,2012,"Q4","行動及無線電話","經濟型",50613.247,29508.51,21104.737,"北部","台北市"
"141",2012-01-01,2012,"Q1","電腦","經濟型",125547.188,34869.668,90677.52,"北部","台北市"
"142",2012-04-01,2012,"Q2","電腦","經濟型",143482.5,148857.692,-5375.192,"北部","台北市"
"143",2012-07-01,2012,"Q3","電腦","經濟型",94160.391,96977.482,-2817.091,"北部","台北市"
"144",2012-10-01,2012,"Q4","電腦","經濟型",87626.813,16880.573,70746.24,"北部","台北市"
"145",2012-01-01,2012,"Q1","遊戲及玩具","經濟型",16270.916,9758.99,6511.926,"北部","台北市"
"146",2012-04-01,2012,"Q2","遊戲及玩具","經濟型",18595.332,27318.388,-8723.056,"北部","台北市"
"147",2012-07-01,2012,"Q3","遊戲及玩具","經濟型",12203.187,5812.431,6390.756,"北部","台北市"
"148",2012-10-01,2012,"Q4","遊戲及玩具","經濟型",11356.435,15276.508,-3920.073,"北部","台北市"
"149",2012-01-01,2012,"Q1","家用周邊配件","經濟型",80350.2,113104.767,-32754.567,"北部","台北市"
"150",2012-04-01,2012,"Q2","家用周邊配件","經濟型",91828.8,69067.678,22761.122,"北部","台北市"
"151",2012-07-01,2012,"Q3","家用周邊配件","經濟型",60262.65,9462.075,50800.575,"北部","台北市"
"152",2012-10-01,2012,"Q4","家用周邊配件","經濟型",56081.16,34895.968,21185.192,"北部","台北市"
"153",2012-01-01,2012,"Q1","音樂、電影及有聲書","經濟型",3214.008,1178.537,2035.471,"北部","台北市"
"154",2012-04-01,2012,"Q2","音樂、電影及有聲書","經濟型",3673.152,2458.815,1214.337,"北部","台北市"
"155",2012-07-01,2012,"Q3","音樂、電影及有聲書","經濟型",2410.506,1464.496,946.01,"北部","台北市"
"156",2012-10-01,2012,"Q4","音樂、電影及有聲書","經濟型",2243.247,2699.664,-456.417,"北部","台北市"
"157",2012-01-01,2012,"Q1","電視及影片","經濟型",24305.936,24962.713,-656.777,"北部","台北市"
"158",2012-04-01,2012,"Q2","電視及影片","經濟型",27778.212,37391.206,-9612.994,"北部","台北市"
"159",2012-07-01,2012,"Q3","電視及影片","經濟型",18229.452,18941.932,-712.48,"北部","台北市"
"160",2012-10-01,2012,"Q4","電視及影片","經濟型",16964.551,18329.361,-1364.81,"北部","台北市"
"161",2013-01-01,2013,"Q1","影音周邊","經濟型",22552.8,7940.485,14612.315,"北部","台北市"
"162",2013-04-01,2013,"Q2","影音周邊","經濟型",22285.44,33591.864,-11306.424,"北部","台北市"
"163",2013-07-01,2013,"Q3","影音周邊","經濟型",22552.8,5332.75,17220.05,"北部","台北市"
"164",2013-10-01,2013,"Q4","影音周邊","經濟型",22285.44,29618.219,-7332.779,"北部","台北市"
"165",2013-01-01,2013,"Q1","照相機與攝影機","經濟型",8752.8,2151.675,6601.125,"北部","台北市"
"166",2013-04-01,2013,"Q2","照相機與攝影機","經濟型",10285.44,5506.995,4778.445,"北部","台北市"
"167",2013-07-01,2013,"Q3","照相機與攝影機","經濟型",8752.8,9400.643,-647.843,"北部","台北市"
"168",2013-10-01,2013,"Q4","照相機與攝影機","經濟型",10285.44,8344.958,1940.482,"北部","台北市"
"169",2013-01-01,2013,"Q1","行動及無線電話","經濟型",93712.8,128969.081,-35256.281,"北部","台北市"
"170",2013-04-01,2013,"Q2","行動及無線電話","經濟型",103048.44,36751.556,66296.884,"北部","台北市"
"171",2013-07-01,2013,"Q3","行動及無線電話","經濟型",93712.8,112251.322,-18538.522,"北部","台北市"
"172",2013-10-01,2013,"Q4","行動及無線電話","經濟型",103048.44,94509.019,8539.421,"北部","台北市"
"173",2013-01-01,2013,"Q1","電腦","經濟型",175500,60195.272,115304.728,"北部","台北市"
"174",2013-04-01,2013,"Q2","電腦","經濟型",181275,131617.765,49657.235,"北部","台北市"
"175",2013-07-01,2013,"Q3","電腦","經濟型",175500,152715.484,22784.516,"北部","台北市"
"176",2013-10-01,2013,"Q4","電腦","經濟型",181275,67286.429,113988.571,"北部","台北市"
"177",2013-01-01,2013,"Q1","遊戲及玩具","經濟型",20968.8,11480.276,9488.524,"北部","台北市"
"178",2013-04-01,2013,"Q2","遊戲及玩具","經濟型",24717.24,38194.865,-13477.625,"北部","台北市"
"179",2013-07-01,2013,"Q3","遊戲及玩具","經濟型",20968.8,9887.741,11081.059,"北部","台北市"
"180",2013-10-01,2013,"Q4","遊戲及玩具","經濟型",24717.24,38219.9,-13502.66,"北部","台北市"
"181",2013-01-01,2013,"Q1","家用周邊配件","經濟型",103920,121922.917,-18002.917,"北部","台北市"
"182",2013-04-01,2013,"Q2","家用周邊配件","經濟型",110616,127878.456,-17262.456,"北部","台北市"
"183",2013-01-01,2013,"Q1","音樂、電影及有聲書","經濟型",4156.8,3709.575,447.225,"北部","台北市"
"184",2013-04-01,2013,"Q2","音樂、電影及有聲書","經濟型",4604.64,2327.02,2277.62,"北部","台北市"
"185",2013-01-01,2013,"Q1","電視及影片","經濟型",31360.8,34971.781,-3610.981,"北部","台北市"
"186",2013-04-01,2013,"Q2","電視及影片","經濟型",33678.84,33027.511,651.329,"北部","台北市"
"187",2013-07-01,2013,"Q3","家用周邊配件","經濟型",103920,34969.755,68950.245,"北部","台北市"
"188",2013-10-01,2013,"Q4","家用周邊配件","經濟型",110616,140951.857,-30335.857,"北部","台北市"
"189",2013-07-01,2013,"Q3","音樂、電影及有聲書","經濟型",4156.8,1105.009,3051.791,"北部","台北市"
"190",2013-10-01,2013,"Q4","音樂、電影及有聲書","經濟型",4604.64,5728.995,-1124.355,"北部","台北市"
"191",2013-07-01,2013,"Q3","電視及影片","經濟型",31360.8,35183.327,-3822.527,"北部","台北市"
"192",2013-10-01,2013,"Q4","電視及影片","經濟型",33678.84,25132.303,8546.537,"北部","台北市"
"193",2011-01-01,2011,"Q1","影音周邊","一般型",6752.58,7656.333,-903.753,"北部","台北市"
"194",2011-04-01,2011,"Q2","影音周邊","一般型",6056.234,5490.723,565.511,"北部","台北市"
"195",2011-07-01,2011,"Q3","影音周邊","一般型",5062.631,3605.104,1457.527,"北部","台北市"
"196",2011-10-01,2011,"Q4","影音周邊","一般型",7065.309,5330.946,1734.363,"北部","台北市"
"197",2011-01-01,2011,"Q1","照相機與攝影機","一般型",5551.548,4206.71,1344.838,"北部","台北市"
"198",2011-04-01,2011,"Q2","照相機與攝影機","一般型",6056.234,6031.81,24.424,"北部","台北市"
"199",2011-07-01,2011,"Q3","照相機與攝影機","一般型",6562.631,3696.165,2866.466,"北部","台北市"
"200",2011-10-01,2011,"Q4","照相機與攝影機","一般型",7065.309,4377.385,2687.924,"北部","台北市"
"201",2011-01-01,2011,"Q1","行動及無線電話","一般型",55669.687,13132.341,42537.346,"北部","台北市"
"202",2011-04-01,2011,"Q2","行動及無線電話","一般型",60730.568,30347.598,30382.97,"北部","台北市"
"203",2011-07-01,2011,"Q3","行動及無線電話","一般型",65808.603,44289.358,21519.245,"北部","台北市"
"204",2011-10-01,2011,"Q4","行動及無線電話","一般型",70849.351,23990.643,46858.708,"北部","台北市"
"205",2011-01-01,2011,"Q1","電腦","一般型",96381.038,98541.691,-2160.653,"北部","台北市"
"206",2011-04-01,2011,"Q2","電腦","一般型",43267.95,48615.859,-5347.909,"北部","台北市"
"207",2011-07-01,2011,"Q3","電腦","一般型",113934.563,173024.013,-59089.45,"北部","台北市"
"208",2011-10-01,2011,"Q4","電腦","一般型",122661.619,90987.787,31673.832,"北部","台北市"
"209",2011-01-01,2011,"Q1","遊戲及玩具","一般型",9697.174,12308.815,-2611.641,"北部","台北市"
"210",2011-04-01,2011,"Q2","遊戲及玩具","一般型",13626.526,21250.173,-7623.647,"北部","台北市"
"211",2011-07-01,2011,"Q3","遊戲及玩具","一般型",14765.919,11545.479,3220.44,"北部","台北市"
"212",2011-10-01,2011,"Q4","遊戲及玩具","一般型",15896.946,2339.242,13557.704,"北部","台北市"
"213",2011-01-01,2011,"Q1","家用周邊配件","一般型",61683.864,86777.11,-25093.246,"北部","台北市"
"214",2011-04-01,2011,"Q2","家用周邊配件","一般型",67291.488,42409.827,24881.661,"北部","台北市"
"215",2011-07-01,2011,"Q3","家用周邊配件","一般型",72918.12,40556.808,32361.312,"北部","台北市"
"216",2011-10-01,2011,"Q4","家用周邊配件","一般型",78503.436,77350.385,1153.051,"北部","台北市"
"217",2011-01-01,2011,"Q1","音樂、電影及有聲書","一般型",2467.355,2186.018,281.337,"北部","台北市"
"218",2011-04-01,2011,"Q2","音樂、電影及有聲書","一般型",2691.66,3403.628,-711.968,"北部","台北市"
"219",2011-07-01,2011,"Q3","音樂、電影及有聲書","一般型",2916.725,805.565,2111.16,"北部","台北市"
"220",2011-10-01,2011,"Q4","音樂、電影及有聲書","一般型",3140.138,4526.318,-1386.18,"北部","台北市"
"221",2011-01-01,2011,"Q1","電視及影片","一般型",16963.063,3004.34,13958.723,"北部","台北市"
"222",2011-04-01,2011,"Q2","電視及影片","一般型",20355.675,13413.982,6941.693,"北部","台北市"
"223",2011-07-01,2011,"Q3","電視及影片","一般型",22057.731,30036.335,-7978.604,"北部","台北市"
"224",2011-10-01,2011,"Q4","電視及影片","一般型",23747.29,22269.59,1477.7,"北部","台北市"
"225",2012-01-01,2012,"Q1","影音周邊","一般型",6818.289,7230.361,-412.072,"北部","台北市"
"226",2012-04-01,2012,"Q2","影音周邊","一般型",6292.33,3224.523,3067.807,"北部","台北市"
"227",2012-07-01,2012,"Q3","影音周邊","一般型",6113.716,8147.427,-2033.711,"北部","台北市"
"228",2012-10-01,2012,"Q4","影音周邊","一般型",7126.696,8979.015,-1852.319,"北部","台北市"
"229",2012-01-01,2012,"Q1","照相機與攝影機","一般型",6818.289,5878.2,940.089,"北部","台北市"
"230",2012-04-01,2012,"Q2","照相機與攝影機","一般型",7792.33,8981.685,-1189.355,"北部","台北市"
"231",2012-07-01,2012,"Q3","照相機與攝影機","一般型",5113.716,7247.665,-2133.949,"北部","台北市"
"232",2012-10-01,2012,"Q4","照相機與攝影機","一般型",4626.696,2281.371,2345.325,"北部","台北市"
"233",2012-01-01,2012,"Q1","行動及無線電話","一般型",68372.281,45760.543,22611.738,"北部","台北市"
"234",2012-04-01,2012,"Q2","行動及無線電話","一般型",78139.75,113640.524,-35500.774,"北部","台北市"
"235",2012-07-01,2012,"Q3","行動及無線電話","一般型",51279.211,53161.106,-1881.895,"北部","台北市"
"236",2012-10-01,2012,"Q4","行動及無線電話","一般型",46395.476,5608.988,40786.488,"北部","台北市"
"237",2012-01-01,2012,"Q1","電腦","一般型",118373.063,103669.376,14703.687,"北部","台北市"
"238",2012-04-01,2012,"Q2","電腦","一般型",135283.5,196999.643,-61716.143,"北部","台北市"
"239",2012-07-01,2012,"Q3","電腦","一般型",88779.797,109474.61,-20694.813,"北部","台北市"
"240",2012-10-01,2012,"Q4","電腦","一般型",80324.578,59276.257,21048.321,"北部","台北市"
"241",2012-01-01,2012,"Q1","遊戲及玩具","一般型",15341.149,21325.143,-5983.994,"北部","台北市"
"242",2012-04-01,2012,"Q2","遊戲及玩具","一般型",17532.742,12408.369,5124.373,"北部","台北市"
"243",2012-07-01,2012,"Q3","遊戲及玩具","一般型",11505.862,2417.093,9088.769,"北部","台北市"
"244",2012-10-01,2012,"Q4","遊戲及玩具","一般型",10410.065,2434.189,7975.876,"北部","台北市"
"245",2012-01-01,2012,"Q1","家用周邊配件","一般型",75758.76,29463.244,46295.516,"北部","台北市"
"246",2012-04-01,2012,"Q2","家用周邊配件","一般型",86581.44,102199.104,-15617.664,"北部","台北市"
"247",2012-07-01,2012,"Q3","家用周邊配件","一般型",56819.07,10819.761,45999.309,"北部","台北市"
"248",2012-10-01,2012,"Q4","家用周邊配件","一般型",51407.73,25384.275,26023.455,"北部","台北市"
"249",2012-01-01,2012,"Q1","音樂、電影及有聲書","一般型",3030.351,4048.455,-1018.104,"北部","台北市"
"250",2012-04-01,2012,"Q2","音樂、電影及有聲書","一般型",3463.258,3463.954,-0.696,"北部","台北市"
"251",2012-07-01,2012,"Q3","音樂、電影及有聲書","一般型",2272.763,1625.344,647.419,"北部","台北市"
"252",2012-10-01,2012,"Q4","音樂、電影及有聲書","一般型",2056.309,1545.182,511.127,"北部","台北市"
"253",2012-01-01,2012,"Q1","電視及影片","一般型",22917.025,30100.401,-7183.376,"北部","台北市"
"254",2012-04-01,2012,"Q2","電視及影片","一般型",26190.886,29744.18,-3553.294,"北部","台北市"
"255",2012-07-01,2012,"Q3","電視及影片","一般型",17187.769,22716.313,-5528.544,"北部","台北市"
